element,web_name,team,pos,price,xp_total,gws,xp_per_gw,value
596,Ruggeri,AVL,DEF,4.5,4.684545685411666,6,0.7807576142352777,1.0410101523137036
240,Iroegbunam,HUL,MID,5.0,4.634475735507533,6,0.7724126225845889,0.9268951471015067
33,Mings,AVL,DEF,4.5,4.394811594060654,6,0.732468599010109,0.9766247986801453
271,Muniz,FUL,FWD,5.5,4.284725817416154,6,0.714120969569359,0.779041057712028
535,Alderete,SUN,DEF,4.9,4.256440568409977,6,0.7094067614016629,0.8686613404918321
446,Schär,NEW,DEF,5.0,4.2340901476056505,6,0.7056816912676084,0.8468180295211301
515,Maddison,TOT,MID,6.4,3.932500508147051,6,0.6554167513578418,0.6144532043979767
35,Bogarde,AVL,MID,5.0,3.5820639377864216,6,0.597010656297737,0.7164127875572843
159,Caicedo,CHE,MID,5.4,3.576756114567866,6,0.5961260190946444,0.6623622434384936
626,Zepa,FUL,MID,4.5,3.2273992825820246,6,0.5378998804303374,0.7171998405737833
614,Hadjam,BHA,DEF,4.5,3.210403141503151,6,0.5350671902505252,0.7134229203340335
618,Goretzka,AVL,MID,6.0,3.1945839253520454,6,0.5324306542253409,0.5324306542253409
620,Diouf,BRE,DEF,4.5,3.0997178510151686,6,0.5166196418358614,0.6888261891144819
613,Ahoka,SUN,MID,4.5,3.0369750591644364,6,0.5061625098607394,0.6748833464809859
612,Methalie,SUN,DEF,4.5,2.7804792429946326,6,0.4634132071657721,0.6178842762210295
107,Furo,BRE,FWD,4.5,2.6068838219077177,6,0.43448063698461964,0.5793075159794928
599,Cherif,COV,FWD,5.0,2.605891141871894,6,0.43431519031198235,0.5211782283743788
272,Kusi-Asare,FUL,FWD,4.5,2.5910909386264365,6,0.43184848977107276,0.5757979863614303
623,Bentley,COV,GK,4.0,2.5891488702009013,6,0.4315248117001502,0.6472872175502253
441,Obi,MUN,FWD,4.5,2.5758771633435393,6,0.42931286055725654,0.5724171474096754
25,Gyökeres,ARS,FWD,7.3,2.528531409241334,6,0.4214219015402223,0.3463741656494978
382,Danns,LIV,FWD,4.5,2.523986891710715,6,0.4206644819517858,0.5608859759357144
170,Emegha,CHE,FWD,5.0,2.496197851601633,6,0.4160329752669389,0.4992395703203266
169,Mheuka,CHE,FWD,4.5,2.496197851601633,6,0.4160329752669389,0.5547106336892518
392,Aït-Nouri,MCI,DEF,5.4,2.4537800746905467,6,0.4089633457817578,0.4544037175352864
136,Welbeck,CHE,FWD,5.9,2.392107652836824,6,0.3986846088061373,0.4054419750570888
2,Arrizabalaga,ARS,GK,4.9,2.2968312919289633,6,0.38280521532149386,0.4687410799855027
3,Meslier,ARS,GK,4.9,2.2968312919289633,6,0.38280521532149386,0.4687410799855027
581,Diomande,NFO,DEF,5.4,2.2872393604055197,6,0.38120656006758663,0.4235628445195406
476,O.Richards,NFO,DEF,4.0,2.2872393604055197,6,0.38120656006758663,0.5718098401013799
20,Dowman,ARS,MID,5.4,2.2785940256418176,6,0.37976567094030295,0.4219618566003366
217,M.França,CRY,MID,4.9,2.252999427944306,6,0.37549990465738436,0.45979580162128697
219,J.Rak-Sakyi,CRY,MID,5.0,2.252999427944306,6,0.37549990465738436,0.4505998855888612
221,Drakes-Thomas,CRY,MID,4.5,2.252999427944306,6,0.37549990465738436,0.5006665395431792
218,Doucouré,CRY,MID,4.9,2.252999427944306,6,0.37549990465738436,0.45979580162128697
292,Ömür,HUL,MID,4.9,2.2495469953741325,6,0.3749244992290221,0.4590912235457413
340,Gelhardt,HUL,MID,5.0,2.2495469953741325,6,0.3749244992290221,0.4499093990748265
296,Akintola,HUL,MID,5.0,2.2495469953741325,6,0.3749244992290221,0.4499093990748265
288,Dowell,HUL,MID,4.5,2.2495469953741325,6,0.3749244992290221,0.49989933230536276
574,Hjertø-Dahl,HUL,MID,4.9,2.2495469953741325,6,0.3749244992290221,0.4590912235457413
179,Latibeaudiere,COV,DEF,4.0,2.246832314744116,6,0.37447205245735266,0.561708078686029
178,Bidwell,COV,DEF,4.0,2.246832314744116,6,0.37447205245735266,0.561708078686029
187,Eccles,COV,MID,4.9,2.241436542858381,6,0.37357275714306354,0.4574360291547716
189,Shepherd,COV,MID,4.5,2.241436542858381,6,0.37357275714306354,0.4980970095240847
